"Nomor","Judul","Review","Rating","Link"
"1","Harry Potter and the Philosopher’s Stone","Quite interesting. Buku fantasi pertama yang saya gak bisa berhenti baca. Core idea-nya sih gak ori-ori amat. Cuma Jk Rowling justru bener-bener jenius karena bisa meramu semua mitos sihir di dunia jadi satu. Seolah-olah sihir itu memang ada. Sorcerer's Stone sendiri adalah batu bertuah yang diincer Voldemort karena konon pemiliknya bakalan hidup abadi.","3","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=1"
"2","Harry Potter and the Philosopher’s Stone","Begadang semaleman... Sensasinya masih sama. Masih takjub. Ditambah lagi ilustrasinya keren banget... :)) Catatan: beli versi bahasa Indonesia-nya karena lebih murah","5","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=2"
"3","Harry Potter and the Philosopher’s Stone","Meskipun udh nonton filmnya duluan tetep aja amazed sama bukunya dan makin suka filmnya karena nyaris mirip bgttttt!!!😆","5","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=3"
"4","Harry Potter and the Philosopher’s Stone","Membaca kembali Harry Potter dan Batu Bertuah karena rindu dengan perasaan 'menyenangkan sekali membaca ini' saat masih duduk di Sekolah Dasar. Meskipun sudah belasan tahun berlalu, tapi yang mengejutkan (atau justru tidak mengejutkan ya), rasanya tidak jauh berbeda. Ada beberapa buku yang dulu seru sekali dibaca, tapi ketika dibaca ulang ternyata kesannya berbeda, malah membuat saya bertanya-tanya: kok bisa sih dulu suka banget sama buku ini? JK Rowling (Harry Potter) memang timeless. Saya masih sama menikmatinya seperti dulu. Bedanya sekarang gampang sekali mencerna isi buku, berbeda dengan dulu yang dengan lugunya membaca 'Hermione' sebagaimana yang tertulis, serta kesulitan ketika menemui beberapa kosa kata yang sama sekali baru bagi anak kelas 4 SD. Tidak salah menjadikan buku ini sebagai salah satu koleksi berharga saya, yang semoga bisa tersampaikan hingga ke anak cucu.","4","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=4"
"5","Harry Potter and the Philosopher’s Stone","It is sooo magical!!! Aku suka banget pas Harry ke Diagon Alley, terus nyasar di Hogwarts, dan pertandingan Quidditch. Baca ini cocok banget buat mendamaikan hati yang lelah, juga badan yang sakit setelah digempur skripsi dan sidang hahaha beneran berasa liburan~","5","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=5"
"6","Harry Potter and the Philosopher’s Stone","Aku nggak ngerti kenapa orang tergila-gila sama buku ini.","2","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=6"
"7","Harry Potter and the Philosopher’s Stone","gausaa ditanya lagi emang ini series Harry Potter pasti seru banget, apalagi kalau kalian suka sama buku-buku yang genre nya fantasi, novel nya menurut gesa jauh lebih seru dari pada filmnya! Jadi buat yang belum baca harry potter wajibb siii","5","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=7"
"8","Harry Potter and the Philosopher’s Stone","dari seri pertama harry potter aku udah mengira kalo' nih buku bakalan laris manis.. sayangnya di mulai dari seri pertama sampe' ke buku yang ke-3 aku masih bingung ttg hbungan harry potter sm slytherin.. mungkin sengaja dibikin gitu kale ya .. sm tante Rowling :P","2","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=8"
"9","Harry Potter and the Philosopher’s Stone","Waktu pertama baca buku ini, gue ngga pernah nyangka kalo gue akan dengan rajinnya nungguin kapan buku berikutnya akan terbit. Dan makin lama, tiap judul buku dengan ketebalan berbeda bisa gue selesaikan dalam waktu yang sangat singkat. Karena gue ngga sabar baca akhir ceritanya *hahaha*","3","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=9"
"10","Harry Potter and the Philosopher’s Stone","Kesekian kalinya ulang baca kisah Harry Potter. Terakhir kali baca ulang, pas edisi ilustrasi terjemahan... terus sekarang ada kover baru harus banget baca juga. Sayangnya beberapa penulisan masih belum diperbaiki. Tapi nggak ngurangin keasyikan ngikutin kisah Harry dkk. ;)","4","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone?from_search=true&from_srp=true&qid=H9Ns0Uz8Bb&rank=10"
